iter	Passed	Remaining
0	38	38728
1	63	31733
2	83	27902
3	102	25555
4	119	23752
5	136	22660
6	152	21678
7	168	20838
8	183	20231
9	199	19759
10	216	19439
11	233	19231
12	249	18938
13	268	18936
14	288	18932
15	306	18873
16	325	18828
17	344	18777
18	360	18634
19	377	18510
20	392	18320
21	408	18177
22	423	18003
23	438	17840
24	454	17741
25	471	17666
26	490	17668
27	507	17607
28	531	17794
29	553	17902
30	583	18237
31	603	18242
32	620	18184
33	636	18090
34	651	17959
35	666	17842
36	681	17732
37	698	17688
38	715	17640
39	732	17574
40	750	17553
41	768	17529
42	789	17563
43	807	17547
44	826	17542
45	842	17471
46	858	17412
47	874	17338
48	890	17274
49	905	17204
50	921	17144
51	937	17083
52	954	17048
53	974	17063
54	993	17066
55	1017	17144
56	1042	17248
57	1063	17277
58	1086	17333
59	1126	17648
60	1170	18015
61	1198	18136
62	1216	18094
63	1236	18077
64	1255	18064
65	1276	18071
66	1297	18074
67	1318	18066
68	1340	18088
69	1361	18090
70	1383	18104
71	1408	18153
72	1431	18179
73	1455	18209
74	1477	18218
75	1495	18183
76	1517	18193
77	1539	18200
78	1564	18242
79	1586	18243
80	1606	18224
81	1627	18218
82	1646	18195
83	1667	18181
84	1687	18168
85	1708	18158
86	1733	18190
87	1754	18182
88	1776	18183
89	1794	18143
90	1816	18142
91	1834	18102
92	1851	18054
93	1866	17988
94	1883	17938
95	1901	17902
96	1919	17867
97	1936	17822
98	1955	17797
99	1975	17776
100	1993	17745
101	2009	17694
102	2025	17643
103	2040	17582
104	2057	17534
105	2072	17477
106	2089	17437
107	2107	17402
108	2124	17363
109	2147	17371
110	2169	17379
111	2192	17385
112	2210	17354
113	2228	17320
114	2247	17298
115	2266	17272
116	2284	17238
117	2304	17224
118	2324	17206
119	2347	17217
120	2370	17221
121	2393	17226
122	2415	17224
123	2439	17233
124	2457	17200
125	2478	17192
126	2500	17191
127	2522	17186
128	2544	17179
129	2571	17207
130	2591	17189
131	2610	17165
132	2628	17134
133	2644	17092
134	2661	17050
135	2676	17003
136	2694	16971
137	2711	16936
138	2728	16901
139	2747	16878
140	2765	16850
141	2782	16811
142	2798	16770
143	2816	16745
144	2832	16700
145	2848	16660
146	2864	16619
147	2881	16590
148	2898	16555
149	2916	16525
150	2935	16505
151	2954	16485
152	2975	16472
153	2993	16446
154	3013	16429
155	3034	16419
156	3053	16395
157	3075	16392
158	3099	16394
159	3124	16405
160	3147	16404
161	3172	16408
162	3192	16393
163	3211	16372
164	3229	16344
165	3248	16318
166	3266	16291
167	3285	16272
168	3304	16248
169	3325	16233
170	3341	16200
171	3358	16166
172	3373	16126
173	3388	16087
174	3406	16059
175	3424	16031
176	3440	15996
177	3459	15976
178	3479	15958
179	3495	15923
180	3511	15890
181	3527	15852
182	3543	15819
183	3559	15784
184	3575	15751
185	3592	15721
186	3611	15700
187	3630	15681
188	3651	15668
189	3670	15648
190	3692	15637
191	3717	15646
192	3741	15645
193	3765	15643
194	3786	15632
195	3808	15623
196	3831	15615
197	3849	15590
198	3868	15569
199	3890	15560
200	3910	15545
201	3929	15525
202	3953	15523
203	3976	15517
204	4001	15518
205	4020	15496
206	4040	15478
207	4056	15445
208	4072	15413
209	4088	15381
210	4104	15347
211	4123	15326
212	4143	15308
213	4164	15296
214	4188	15293
215	4210	15281
216	4232	15273
217	4249	15242
218	4266	15216
219	4281	15180
220	4297	15147
221	4312	15112
222	4330	15087
223	4347	15061
224	4365	15037
225	4383	15012
226	4404	14996
227	4423	14978
228	4445	14966
229	4463	14943
230	4480	14915
231	4496	14885
232	4513	14858
233	4530	14829
234	4547	14802
235	4564	14775
236	4582	14753
237	4599	14726
238	4617	14703
239	4635	14677
240	4655	14661
241	4674	14642
242	4695	14627
243	4712	14602
244	4728	14572
245	4744	14541
246	4762	14518
247	4778	14490
248	4794	14460
249	4811	14434
250	4829	14410
251	4847	14389
252	4868	14373
253	4887	14354
254	4907	14337
255	4925	14315
256	4943	14290
257	4959	14264
258	4975	14235
259	4991	14205
260	5006	14176
261	5024	14152
262	5040	14124
263	5059	14104
264	5077	14081
265	5095	14061
266	5115	14042
267	5133	14022
268	5153	14004
269	5172	13986
270	5188	13958
271	5205	13931
272	5220	13903
273	5236	13875
274	5252	13848
275	5269	13823
276	5287	13800
277	5304	13777
278	5321	13752
279	5340	13731
280	5360	13715
281	5379	13696
282	5398	13678
283	5418	13661
284	5434	13634
285	5449	13605
286	5466	13579
287	5481	13551
288	5498	13526
289	5514	13500
290	5531	13478
291	5549	13455
292	5567	13435
293	5586	13415
294	5606	13398
295	5625	13379
296	5645	13363
297	5664	13344
298	5684	13327
299	5705	13313
300	5725	13296
301	5746	13281
302	5767	13266
303	5790	13256
304	5811	13242
305	5834	13233
306	5862	13233
307	5881	13214
308	5901	13198
309	5921	13180
310	5943	13167
311	5966	13155
312	5988	13144
313	6013	13136
314	6036	13127
315	6059	13116
316	6083	13107
317	6102	13086
318	6121	13068
319	6138	13044
320	6158	13026
321	6177	13008
322	6198	12992
323	6217	12973
324	6238	12956
325	6257	12937
326	6278	12922
327	6298	12905
328	6320	12890
329	6338	12868
330	6356	12847
331	6372	12821
332	6389	12797
333	6410	12783
334	6430	12765
335	6451	12749
336	6495	12778
337	6519	12769
338	6535	12743
339	6551	12718
340	6567	12691
341	6582	12665
342	6600	12643
343	6617	12619
344	6636	12598
345	6656	12582
346	6675	12562
347	6695	12544
348	6714	12524
349	6731	12501
350	6747	12476
351	6762	12449
352	6779	12425
353	6795	12400
354	6811	12375
355	6827	12351
356	6845	12329
357	6862	12307
358	6882	12288
359	6901	12269
360	6920	12249
361	6941	12233
362	6959	12212
363	6975	12188
364	6991	12163
365	7007	12139
366	7023	12113
367	7039	12089
368	7056	12067
369	7074	12045
370	7093	12025
371	7112	12007
372	7132	11989
373	7152	11972
374	7173	11955
375	7190	11933
376	7206	11908
377	7221	11883
378	7237	11859
379	7254	11836
380	7271	11813
381	7289	11792
382	7307	11772
383	7326	11752
384	7346	11735
385	7366	11717
386	7385	11697
387	7404	11678
388	7422	11658
389	7439	11635
390	7455	11612
391	7470	11587
392	7487	11563
393	7502	11539
394	7519	11516
395	7536	11495
396	7558	11480
397	7577	11462
398	7596	11443
399	7616	11424
400	7635	11405
401	7652	11383
402	7668	11359
403	7684	11336
404	7700	11313
405	7715	11288
406	7732	11266
407	7751	11246
408	7769	11227
409	7788	11208
410	7808	11190
411	7827	11171
412	7847	11153
413	7868	11136
414	7883	11113
415	7899	11089
416	7915	11066
417	7931	11043
418	7948	11021
419	7964	10998
420	7983	10979
421	8000	10958
422	8018	10937
423	8036	10918
424	8058	10902
425	8076	10882
426	8095	10864
427	8114	10844
428	8131	10822
429	8146	10799
430	8163	10777
431	8178	10753
432	8194	10730
433	8210	10707
434	8227	10686
435	8245	10666
436	8265	10648
437	8284	10630
438	8304	10612
439	8323	10593
440	8343	10576
441	8363	10557
442	8379	10536
443	8395	10513
444	8411	10490
445	8427	10467
446	8443	10445
447	8459	10423
448	8477	10402
449	8495	10383
